ma_khach_hang,ma_san_pham,so_sao,count,count,ma_khach_hang_idx,ma_san_pham_idx
110,422207283,4.0,58,12,334.0,96.0
110,422208807,5.0,292,12,334.0,6.0
110,422211446,5.0,298,12,334.0,7.0
110,422211447,5.0,298,12,334.0,2.0
111,205100136,4.0,295,8,665.0,3.0
111,205100137,4.0,299,8,665.0,4.0
111,205100146,4.0,298,8,665.0,1.0
111,422204259,4.0,307,8,665.0,0.0
111,422206648,4.0,294,8,665.0,5.0
111,422211446,4.0,298,8,665.0,7.0
111,422211447,4.0,298,8,665.0,2.0
112,205100137,2.0,299,8,668.0,4.0
112,205100146,2.0,298,8,668.0,1.0
112,422204259,2.0,307,8,668.0,0.0
112,422206648,2.0,294,8,668.0,5.0
112,422208807,2.0,292,8,668.0,6.0
112,422211446,2.0,298,8,668.0,7.0
112,422211447,2.0,298,8,668.0,2.0
113,205100136,3.0,295,9,555.0,3.0
113,205100137,3.0,299,9,555.0,4.0
113,205100146,3.0,298,9,555.0,1.0
113,422204259,3.0,307,9,555.0,0.0
113,422205163,3.0,262,9,555.0,17.0
113,422206648,3.0,294,9,555.0,5.0
113,422211446,3.0,298,9,555.0,7.0
113,422211447,3.0,298,9,555.0,2.0
114,205100136,5.0,295,8,669.0,3.0
114,205100137,5.0,299,8,669.0,4.0
114,422204259,5.0,307,8,669.0,0.0
114,422206648,5.0,294,8,669.0,5.0
114,422208807,5.0,292,8,669.0,6.0
115,205100136,5.0,295,9,564.0,3.0
115,205100146,5.0,298,9,564.0,1.0
115,223600009,2.0,48,9,564.0,110.0
115,422204259,5.0,307,9,564.0,0.0
115,422206648,5.0,294,9,564.0,5.0
115,422211446,5.0,298,9,564.0,7.0
116,205100136,5.0,295,9,566.0,3.0
116,205100146,1.0,298,9,566.0,1.0
116,205100146,5.0,298,9,566.0,1.0
116,422204259,5.0,307,9,566.0,0.0
116,422208807,5.0,292,9,566.0,6.0
116,422211446,5.0,298,9,566.0,7.0
116,422211447,5.0,298,9,566.0,2.0
117,100220009,5.0,67,42,6.0,40.0
117,100220009,5.0,67,42,6.0,40.0
117,100220010,5.0,68,42,6.0,41.0
117,100220037,5.0,69,42,6.0,43.0
117,100220037,5.0,69,42,6.0,43.0
117,205100136,5.0,295,42,6.0,3.0
117,205100137,5.0,299,42,6.0,4.0
117,205100146,5.0,298,42,6.0,1.0
117,207300009,5.0,69,42,6.0,42.0
117,207300009,5.0,69,42,6.0,42.0
117,223600009,5.0,48,42,6.0,110.0
117,223600034,5.0,49,42,6.0,125.0
117,249500019,5.0,151,42,6.0,36.0
117,249500027,5.0,149,42,6.0,37.0
117,308500009,5.0,261,42,6.0,10.0
117,308500013,5.0,269,42,6.0,8.0
117,308500015,5.0,265,42,6.0,11.0
117,308500018,5.0,261,42,6.0,14.0
117,308500037,5.0,260,42,6.0,12.0
117,327500002,5.0,77,42,6.0,113.0
117,345800015,5.0,37,42,6.0,178.0
117,422202253,5.0,262,42,6.0,15.0
117,422203145,5.0,148,42,6.0,39.0
117,422204259,5.0,307,42,6.0,0.0
117,422205162,5.0,266,42,6.0,13.0
117,422205164,5.0,240,42,6.0,18.0
117,422206042,5.0,66,42,6.0,44.0
117,422206043,5.0,66,42,6.0,45.0
117,422206648,5.0,294,42,6.0,5.0
117,422207413,5.0,145,42,6.0,38.0
117,422208181,5.0,73,42,6.0,119.0
117,422208807,5.0,292,42,6.0,6.0
117,422211446,5.0,298,42,6.0,7.0
117,422211447,5.0,298,42,6.0,2.0
118,205100136,5.0,295,9,567.0,3.0
118,205100137,5.0,299,9,567.0,4.0
118,205100146,5.0,298,9,567.0,1.0
118,422206421,1.0,28,9,567.0,181.0
118,422206648,5.0,294,9,567.0,5.0
118,422211446,5.0,298,9,567.0,7.0
118,422211447,5.0,298,9,567.0,2.0
119,205100136,5.0,295,8,679.0,3.0
119,205100146,5.0,298,8,679.0,1.0
119,422204259,5.0,307,8,679.0,0.0
119,422206648,5.0,294,8,679.0,5.0
119,422208807,5.0,292,8,679.0,6.0
119,422211446,5.0,298,8,679.0,7.0
119,422211447,5.0,298,8,679.0,2.0
120,205100137,5.0,299,8,681.0,4.0
120,205100146,5.0,298,8,681.0,1.0
120,422204259,5.0,307,8,681.0,0.0
120,422206648,5.0,294,8,681.0,5.0
120,422208807,5.0,292,8,681.0,6.0
120,422211446,5.0,298,8,681.0,7.0
120,422211447,5.0,298,8,681.0,2.0
121,205100136,4.0,295,51,2.0,3.0
121,205100136,5.0,295,51,2.0,3.0
121,205100136,5.0,295,51,2.0,3.0
121,205100137,5.0,299,51,2.0,4.0
121,205100146,5.0,298,51,2.0,1.0
121,205100146,5.0,298,51,2.0,1.0
121,223600026,5.0,49,51,2.0,99.0
121,223600026,5.0,49,51,2.0,99.0
121,223600035,5.0,51,51,2.0,95.0
121,223600035,5.0,51,51,2.0,95.0
121,224100007,4.0,11,51,2.0,314.0
121,245500001,5.0,40,51,2.0,103.0
121,245500002,5.0,39,51,2.0,104.0
121,245500009,5.0,39,51,2.0,105.0
121,245500010,5.0,39,51,2.0,106.0
121,249500021,5.0,71,51,2.0,69.0
121,249500028,5.0,72,51,2.0,66.0
121,253900006,5.0,83,51,2.0,112.0
121,318900005,4.0,89,51,2.0,88.0
121,318900019,4.0,91,51,2.0,83.0
121,422202025,4.0,11,51,2.0,232.0
121,422202045,4.0,11,51,2.0,233.0
121,422203146,5.0,73,51,2.0,64.0
121,422203609,5.0,24,51,2.0,276.0
121,422203617,5.0,26,51,2.0,277.0
121,422204259,5.0,307,51,2.0,0.0
121,422204259,5.0,307,51,2.0,0.0
121,422204795,5.0,175,51,2.0,90.0
121,422206648,4.0,294,51,2.0,5.0
121,422206648,5.0,294,51,2.0,5.0
121,422206648,5.0,294,51,2.0,5.0
121,422207414,5.0,70,51,2.0,67.0
121,422208807,4.0,292,51,2.0,6.0
121,422208807,5.0,292,51,2.0,6.0
121,422209443,1.0,36,51,2.0,155.0
121,422209444,1.0,37,51,2.0,150.0
121,422211446,4.0,298,51,2.0,7.0
121,422211446,5.0,298,51,2.0,7.0
121,422211447,4.0,298,51,2.0,2.0
121,422211447,5.0,298,51,2.0,2.0
121,422211489,5.0,51,51,2.0,100.0
121,422212100,5.0,82,51,2.0,121.0
122,205100136,5.0,295,8,685.0,3.0
122,205100137,5.0,299,8,685.0,4.0
122,205100146,5.0,298,8,685.0,1.0
122,422206648,5.0,294,8,685.0,5.0
122,422208807,5.0,292,8,685.0,6.0
122,422211446,5.0,298,8,685.0,7.0
122,422211447,5.0,298,8,685.0,2.0
123,205100136,5.0,295,14,213.0,3.0
123,205100137,5.0,299,14,213.0,4.0
123,249500007,5.0,95,14,213.0,52.0
123,249500013,5.0,96,14,213.0,46.0
123,422204259,5.0,307,14,213.0,0.0
123,422206648,5.0,294,14,213.0,5.0
123,422207812,5.0,115,14,213.0,154.0
123,422208807,5.0,292,14,213.0,6.0
123,422209262,5.0,39,14,213.0,217.0
123,422211446,5.0,298,14,213.0,7.0
123,422211447,5.0,298,14,213.0,2.0
